Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Cereal production (metric tons),AG.PRD.CREL.MT,3950000,4270000,4351000,4481000,4624000,4147000,4382000,4214000,4072000,3893000,3724000,3591000,3418000,3242000,3084000,3394000,2997000,2834000,2705000,2721302.33,2470000,2981774.06,3144000,3242179.28,3241914.75,3682722.57,3875506.12,3256395.77,1940000,2108000,3737000,4381000,3560000,5425000,4638000,5786000,3950000,6514000,5957000,4681020,6379000,6520329,6748023.28,5808288,5532695.42,4892953.97,4133051.85,5583461,6025977,4663880.79
Afghanistan,AFG,Land under cereal production (hectares),AG.LND.CREL.HA,3923100,3337000,3342000,3404000,3394000,3388000,3392000,3183500,3018500,2909000,2799500,2649000,2562000,2434500,2347000,2496000,2331000,2290000,2253000,2345071,2250000,2631882,2757000,2669450,2691670,2730401,2792105,2532871,2406000,2094000,2238000,3004700,2667000,3030000,2989000,3021000,2714000,3192000,2962000,2820000,3143000,3182922,3344733,2724070,2793694,2419213,1911652,2641911,3043589,2164537
Albania,ALB,Cereal production (metric tons),AG.PRD.CREL.MT,585830,625498,646200,666500,857000,910400,932800,963800,880600,904200,970400,1067000,1039400,994900,1046000,1025800,997630,1033350,897000,446152,428918.16,665720,646026,645400,503714,602043,605746,497500,565800,502500,518800,488500,498800,511200,507500,493600,608500,630900,693800,701200,697400,702870,700370,695000,698430,701734,678196,666065,684023,691126.7
Albania,ALB,Land under cereal production (hectares),AG.LND.CREL.HA,331220,339400,334040,328500,350500,357000,356000,365800,372500,361600,357400,350300,350400,343000,349800,345900,347000,348900,321000,215339,198700,247936,262515,227137,205526,212488,210906,177800,178200,165800,157600,153340,143900,147655,140870,132390,149100,146200,145700,147599,142800,142000,143149,142600,148084,145799,140110,132203,131310,134337
Algeria,DZA,Cereal production (metric tons),AG.PRD.CREL.MT,2362625,1595994,1480275,2680452,2313186,1142509,1538550,1620808,2419074,1832872,1524398,1290834,1461484,2918778,2403612,2066344,1038303,2006130,1627035,3809857,3330382.14,1453453.67,964743.63,2139705.48,4901677.89,870017,3026097.49,2021053.36,934656.39,2659594.68,1953325.24,4266387.06,4033241.92,3527824.19,4018104.98,3602256.33,1536002.32,5253472.23,4211354.54,4247535.01,5137455,4912551,3435535,3761229.6,3445227.37,3478175.14,6066252.82,5633596.78,4393336.75,2784017.29
Algeria,DZA,Land under cereal production (hectares),AG.LND.CREL.HA,3517530,3232850,2973050,3171240,3349880,2780260,2624990,2886660,3181380,2836390,2569300,2227560,2670070,3198670,2871100,2719150,1808540,2638170,2365999,3418278,3530507,1959520,1287357,2579551,3663945,1115670,3575718,1888946,1058184,2402748,1845217,2901720,3000731,2350627,2672232,2873873,1485477,3176367,2856567,2584734,3062449,2709432,2509193,2686241,3376449,3512157,3107770,3187483,2889579,1941863
American Samoa,ASM,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Cereal production (metric tons),AG.PRD.CREL.MT,513417,548578,513764,558000,563000,430000,475000,361000,435000,316000,315000,337000,321000,308000,341400,364400,334400,272400,248500,372060,401800,322000,285000,296000,519375.76,448888.12,609612,541183,519635,601120,733819,736542.08,742341.31,914886,723305,780963,754711,1056844,1181944,1412826,509545.03,1674598.34,1823231.03,2019544.24,2363286.67,2496326.75,2877568.65,2920676.35,3075673.21,3053114.7
Angola,AGO,Land under cereal production (hectares),AG.LND.CREL.HA,658000,718000,721000,721000,726000,713000,712000,709000,704000,700500,699000,695400,688800,685800,899000,956000,1006000,982000,774281,891200,1011875,1201385,955000,737214,795291,791198,868838,872348,920726,1026812,1170009,1140009,1509879,1568233,1622092,1682171,1156211,1849528,1878155,2132989,923085,2056204,2052732,2055726,2730900,3096375,3056780,3046337,3098900,3052269
Antigua and Barbuda,ATG,Cereal production (metric tons),AG.PRD.CREL.MT,92,28,37,60,51,30,35,96,29,45,59,68,29,38,40,48,57,60,50,55,50.95,50.22,49.43,45,48.63,48.94,49.35,49.73,48,50.77,50,55,60,61.12,65,64.85,68,66.32,63.44,71.88,70.12,71.77,72.08,74.57,64.71,51.47,36.95,24.1,11.4,10.68
Antigua and Barbuda,ATG,Land under cereal production (hectares),AG.LND.CREL.HA,40,14,18,32,28,18,20,50,17,25,33,38,17,20,21,25,28,28,21,30,30,30,30,28,30,30,30,30,30,31,32,35,38,38,40,40,42,42,40,45,44,45,46,47,35,25,17,10,3,5
Argentina,ARG,Cereal production (metric tons),AG.PRD.CREL.MT,18834100,23861300,23608900,23040800,24891700,22506800,27700200,25071000,18652400,30014200,34328400,31687000,31849300,28074800,26130800,22947900,22336300,18133270,19142700,22838060,25622020,25568081,23789591,26281514,24089764,36698490,40418872,31936418,37983923,36655385,35057269,32473165,34193141,41947408,32262738,42067213,44956952,26147049,39769212,50916576,47372117,50742603,50794075.58,55980088.03,61148032.97,76397452.56,70591420.02,83616257.66,86572197.88,87691545.11
Argentina,ARG,Land under cereal production (hectares),AG.LND.CREL.HA,11702050,11688950,11538000,11780050,13051770,10542300,11425900,11131900,9952900,12377000,14052800,13599000,12337485,11508250,10119555,9631373,8835955,8515784,8504919,9386545,8748790,8370535,8619890,9061870,8872500,12189268,10603135,9574275,10972298,10785378,10702110,9814395,9345371,10291886,8701693,9796747,10921189,8046915,8155785,11077808,11380945,10581024,10522262,11713405,11751642,14135508,15111458,15272830,16606704,16885807
